연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
1030,경남,김해시,제40회 김해진영단감축제,지역특산물,2024-11-01,2024-11-03
1031,경남,김해시,제9회 김해꽃축제,지역특산물,2024-01-05,2024-01-05
1032,경남,김해시,2024 김해독서대전,문화예술,2024-01-03,2024-01-12
1034,경남,밀양시,제66회 밀양아리랑대축제,전통역사,2024-05-23,2024-05-26
1035,경남,밀양시,제24회 밀양공연예술축제,문화예술,2024-07-19,2024-07-28
1036,경남,밀양시,2024년 밀양 문화유산 야행,전통역사,2024-04-19,2024-04-21
1037,경남,밀양시,제15회 밀양대추축제,지역특산물,2024-10-20,2024-10-22
1038,경남,밀양시,제26회 밀양얼음골사과축제,지역특산물,2024-11-02,2024-11-03
1039,경남,밀양시,제14회 밀양삼랑진 딸기시배지 축제,지역특산물,2024-01-03,2024-01-03
1040,경남,밀양시,초동연가길 코스모스축제,자연생태,2024-10-05,2024-10-06
1041,경남,거제시,거제맹종대나무 축제,지역특산물,2024-04-26,2024-04-28
1042,경남,거제시,거제옥포대첩 축제,전통역사,2024-01-06,2024-01-06
1043,경남,거제시,남부면 수국축제,자연생태,2024-01-06,2024-01-06
1045,경남,거제시,거제맥주축제,문화예술,2024-01-08,2024-01-08
1046,경남,거제시,제13회 거제둔덕포도축제,지역특산물,2024-09-07,2024-09-08
1047,경남,거제시,제18회 거제섬꽃축제,문화예술,2024-10-26,2024-11-03
1048,경남,거제시,거제대구수산물축제,지역특산물,2024-01-12,2024-01-12
1050,경남,거제시,거제 송년불꽃축제,문화예술,2024-12-31,2024-12-31
1051,경남,양산시,배내골고로쇠축제,지역특산물,2024-02-15,2024-03-15
1053,경남,양산시,원동매화축제,지역특산물,2024-03-09,2024-03-17
1054,경남,양산시,2024 물금벚꽃축제,자연생태,2024-01-03,2024-01-04
1055,경남,양산시,양산봄꽃향연,자연생태,2024-01-04,2024-01-05
1057,경남,양산시,배내골사과축제,지역특산물,2024-11-02,2024-11-03
1058,경남,양산시,2024 양산삽량문화축전,전통역사,2024-01-10,2024-01-10
1059,경남,양산시,양산차문화축제,문화예술,2024-01-10,2024-01-10
1060,경남,양산시,양산국화축제,자연생태,2024-01-10,2024-01-11
1061,경남,의령군,제49회 의령 홍의장군축제,전통역사,2024-04-18,2024-04-21
1062,경남,의령군,2024 의령 신번문화축제,전통역사,2024-01-09,2024-01-09
1063,경남,의령군,2024 의령 리치리치 페스티벌,문화예술,2024-01-10,2024-01-10
1064,경남,의령군,2024 토요애 의령 농축산물 축제,지역특산물,2024-01-10,2024-01-10
1065,경남,의령군,제3회 의령가례밭미나리축제,지역특산물,2024-01-03,2024-01-03
1066,경남,의령군,제21 의령토요애수박축제,지역특산물,2024-01-04,2024-01-04
1067,경남,의령군,2024 청소년과 함께하는 세대공감 어울림 축제,문화예술,2024-01-10,2024-01-10
1068,경남,함안군,제36회 아라가야문화제,전통역사,2024-01-09,2024-01-09
1069,경남,함안군,제5회 대한민국 & 제30회 함안수박축제,지역특산물,2024-04-26,2024-04-28
1070,경남,함안군,제12회 강주해바라기 축제,자연생태,2024-01-06,2024-01-07
1071,경남,함안군,제2회 청보리.작약 축제,자연생태,2024-10-11,2024-10-13
1072,경남,함안군,제13회 함안곶감축제,지역특산물,2024-01-12,2024-01-14
1073,경남,창녕군,제19회 창녕낙동강유채축제,자연생태,2024-04-11,2024-04-14
1074,경남,창녕군,제29회 부곡온천축제,자연생태,2024-03-29,2024-03-31
1075,경남,창녕군,제63회 3.1민속문화제,전통역사,2024-02-29,2024-03-03
1076,경남,창녕군,제38회 비사벌문화제,문화예술,2024-01-10,2024-01-10
1077,경남,고성군,2024 기월 안뜰 경관농업지구 봄꽃 축제,자연생태,2024-01-04,2024-01-04
1078,경남,고성군,2024 기월 안뜰 경관농업지구 가을꽃 축제,자연생태,2024-01-10,2024-01-10
1079,경남,고성군,제11회 엄홍길대장과 함께하는 거류산 등산축제,자연생태,2024-01-10,2024-01-10
1080,경남,고성군,제46회 소가야문화제,전통역사,2024-01-09,2024-01-09
1081,경남,고성군,당항포대첩 축제,전통역사,2024-01-05,2024-01-05
1090,경남,고성군,제8회 고성 가리비 수산물 축제,지역특산물,2024-01-10,2024-01-10
1091,경남,고성군,제2회 고성갯벌 축제,자연생태,2024-01-09,2024-01-09
1092,경남,남해군,"남해대교 문화행사 ""노량의 봄""",자연생태,2024-03-29,2024-03-30
1093,경남,남해군,제6회 창선고사리축제,지역특산물,2024-04-26,2024-04-27
1094,경남,남해군,제2회 마이페스트,전통역사,2024-05-03,2024-05-04
1095,경남,남해군,제18회 보물섬 멸치축제,지역특산물,2024-05-11,2024-05-12
1096,경남,남해군,제19회 남해 마늘한우 축제,지역특산물,2024-06-13,2024-06-16
1097,경남,남해군,제12회 독일마을맥주축제,전통역사,2024-10-04,2024-10-06
1098,경남,남해군,상주 해돋이&물메기 축제,자연생태,2024-12-31,2024-01-01
1099,경남,하동군,제27회 하동야생차문화축제,지역특산물,2024-05-11,2024-05-14
1101,경남,하동군,제8회 하동섬진강문화재첩축제,지역특산물,2024-01-06,2024-01-06
1102,경남,산청군,제39회 산청황매산철쭉제,자연생태,2024-01-04,2024-01-05
1104,경남,산청군,생초꽃잔디축제,자연생태,2024-01-04,2024-01-04
1105,경남,산청군,제17회 지리산산청곶감축제,지역특산물,2024-01-11,2024-01-14
1106,경남,산청군,제24회 산청한방약초축제,지역특산물,2024-09-27,2024-10-06
1107,경남,산청군,제48회 남명선비문화축제,문화예술,2024-10-18,2024-10-19
1108,경남,함양군,제63회 천령문화제,전통역사,2024-05-09,2024-05-13
1109,경남,함양군,제21회 함양연암문화제,전통역사,2024-01-08,2024-01-08
1110,경남,함양군,제19회 함양산삼축제,지역특산물,2024-01-10,2024-01-10
1112,경남,거창군,제34회 거창국제연극제,문화예술,2024-07-26,2024-08-09
1113,경남,거창군,제4회 감악산 꽃&별 여행,자연생태,2024-09-27,2024-10-13
1114,경남,거창군,제5회 거창 아리미아 꽃 축제,자연생태,2024-01-05,2024-01-05
1115,경남,거창군,제5회 거창韓 거창산양삼축제,지역특산물,2024-01-05,2024-01-05
1116,경남,합천군,제28회 황매산철쭉제,자연생태,2024-01-04,2024-01-05
1119,경남,합천군,합천황토한우축제,지역특산물,2024-01-10,2024-01-10
1120,경남,합천군,2024 합천기록문화축제,전통역사,2024-01-10,2024-01-10
1121,경남,합천군,제3회 황매산억새축제,자연생태,2024-01-10,2024-01-10
1123,제주,서귀포시,제41회 서귀포유채꽃축제,자연생태,2024-03-30,2024-03-31
1125,제주,서귀포시,벚꽃길따라 행복한 동행,문화예술,2024-01-03,2024-01-05
1126,제주,제주시,제13회 우도소라축제,지역특산물,2024-04-26,2024-04-28
1127,제주,제주시,거리예술제,문화예술,2024-01-04,2024-01-11
1129,제주,서귀포시,제28회 한라산 청정 고사리 축제,지역특산물,2024-01-04,2024-01-04
1130,제주,서귀포시,제13회 가파도 청보리 축제,자연생태,2024-01-04,2024-01-04
1131,제주,-,2024년 제주마 입목 및 문화 축제,자연생태,2024-01-04,2024-01-04
1132,제주,제주시,제21회 방선문축제,전통역사,2024-05-04,2024-05-05
1134,제주,서귀포시,수국과 공연이 꽃피는 혼인지,문화예술,2024-01-05,2024-01-08
1135,제주,서귀포시,2024 영천동해바라기축제,자연생태,2024-01-05,2024-01-05
1136,제주,서귀포시,"한라산아래첫마을 광평리 2024 제주메밀축제 ""제주메밀의 모든 것""",지역특산물,2024-06-01,2024-06-02
1137,제주,서귀포시,제10회 대정 암반수 마농박람회,지역특산물,2024-01-06,2024-01-06
1138,제주,제주시,한여름밤의 예술공연,문화예술,2024-01-07,2024-01-08
1139,제주,서귀포시,성산 조개바당 축제,자연생태,2024-01-07,2024-01-07
1140,제주,제주시,제20회 삼양검은모래축제 ,자연생태,2024-01-07,2024-01-07
1141,제주,제주시,제19회 제주이호테우축제,전통역사,2024-01-07,2024-01-08
1142,제주,서귀포시,"제29회 표선해변하얀모래
축제",자연생태,2024-01-07,2024-01-08
1143,제주,제주시,제13회 백난아가요제,문화예술,2024-01-07,2024-01-07
1145,제주,제주시,제15회 금능원담축제,전통역사,2024-01-08,2024-01-08
1146,제주,서귀포시,제22회 예래생태축제,자연생태,2024-09-14,2024-09-15
1147,제주,제주시,제14회 산지천축제,문화예술,2024-01-09,2024-01-09
1148,제주,제주시,"제3회 화북, 포구문화제",전통역사,2024-01-09,2024-01-09
1149,제주,서귀포시,제20회 쇠소깍 축제,자연생태,2024-09-02,2024-09-02
1150,제주,-,제17회 제주해녀축제,전통역사,2024-09-03,2024-09-03
1151,제주,-,제5회 서귀포 은갈치 축제,지역특산물,2024-01-09,2024-01-09
1152,제주,제주시,2024 제주레저힐링축제,문화예술,2024-01-09,2024-01-10
1153,제주,서귀포시,제22회 대정고을 추사문화 예술제,전통역사,2024-01-10,2024-01-10
1154,제주,서귀포시,제30회 서귀포칠십리축제,문화예술,2024-10-18,2024-10-20
1155,제주,제주시,삼도2동 문화의 거리 행사,문화예술,2024-01-10,2024-01-10
1156,제주,제주시,아트페스타인제주,문화예술,2024-01-10,2024-01-10
1157,제주,제주시, 고마로 馬문화 축제,문화예술,2024-10-03,2024-10-03
1158,제주,제주시,2024 삼성혈 문화의 거리 축제,문화예술,2024-01-10,2024-01-10
1159,제주,-,제주 성읍마을 전통민속 재현축제,전통역사,2024-01-10,2024-01-10
1160,제주,-,제주 성읍마을 정의현감 행차재현 및 전통 민요공연,전통역사,2024-01-10,2024-01-10
1161,제주,-,혼인지 축제,전통역사,2024-01-10,2024-01-10
1162,제주,서귀포시,제31회 덕수리 전통민속재현행사,전통역사,2024-10-02,2024-10-02
1163,제주,-,제8회 FPC 한수위 수산물 대축제,지역특산물,2024-01-10,2024-01-10
1164,제주,-,제7회 제주광어 대축제,지역특산물,2024-01-10,2024-01-10
1165,제주,-,제16회 추자도 참굴비 대축제,지역특산물,2024-01-10,2024-01-10
1167,제주,-,제24회 최남단 방어 축제,지역특산물,2024-01-11,2024-01-11
